SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
PEP-SG,"PEPPER, HOT",HOT PEPPER,Sarit Gat,Beautiful and productive long yellow chile ,originally from Kosovo. Cayenne size & heat.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,80 Days,Capsicum chinense,
PEP-SP,"PEPPER, HOT",HOT PEPPER,Sugar Rush Peach,Productive ‘Aji’ type w/4” peach-colored ,"fruits. Sweet, fruity flesh w/medium heat.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,100 Days,Capsicum baccatum,
PEP-TM,"PEPPER, HOT",HOT PEPPER,Târgu Mureș,Aromatic & flavorful hot paprika variety from ,Romania. Cool-season adapted & productive.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,75 Days,Capsicum chinense,
PEP-AS,"PEPPER, HOT",HOT PEPPER,Aci Sivri,"Bright red, cayenne-like variety originally",from Turkey. Great short season producer.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,80-90 days,Capsicum spp.,
PEP-BP,"PEPPER, SWEET",SWEET PEPPER,Bridge to Paris,"Long, red, smooth-skinned frying peppers ",w/thick flesh & sweet flavor. Productive!,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,85-100 Days,Capsicum annuum,
PEP-CC,"PEPPER, SWEET",SWEET PEPPER,Criolla di Cochina,"From Nicaragua. Aromatic & sweet red,"," fist-sized, thin walled fruits w/unique shape.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,80-90 Days,Capsicum annuum,
PEP-DH,"PEPPER, SWEET",SWEET PEPPER,Doe Hill,"Small, thick-walled, & sweet orange",pimiento type. Appalachian heirloom.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,80-90 Days,Capsicum annuum,
PEP-EE,"PEPPER, SWEET",SWEET PEPPER,Elephant's Ear,"Huge, thick-walled Serbian variety ","w/pointed tips & a sweet, rich flavor. ",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,90-100 Days,Capsicum annuum,
PEP-JN,"PEPPER, SWEET",SWEET PEPPER,Jimmy Nardello,"*Ark of Taste Heirloom* Very sweet, reliable, ","early maturing, long red Italian frying pepper.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps >45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,75-90 Days,Capsicum annuum,
PEP-YN,"PEPPER, SWEET",SWEET PEPPER,Yellow Nardello,Yellow version of the classic sweet,"Italian frying pepper, 'Jimmy Nardello'.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,90 Days,Capsicum spp.,
PEP-MP,"PEPPER, SWEET",SWEET PEPPER,Marta Polka,"Sweet, bright yellow, popular Polish bell-type ",w/thick-walled fruits on sturdy upright plants.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,90 Days,Capsicum annuum,
PEP-OK,"PEPPER, SWEET",SWEET PEPPER,Osmarsko Kambe,"Bright red, sweet, petite hearts w/thick walls, ",ideal for stuffing & roasting. Bulgarian var.,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,80-90 Days,Capsicum annuum,
PEP-PM,"PEPPER, SWEET",SWEET PEPPER,Petit Marseillais,"Wavy, orange, thin-walled peppers w/ ",exceptional flavor from Provence. Pickle em!,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,85 Days,Capsicum annuum,
PEP-SR,"PEPPER, SWEET",SWEET PEPPER,Stocky Red Roaster,A wonderful fire-engine-red elongated ,"Italian type. Thick-walled, sweet, & prolific.",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost date",Transplant: after danger of frost (PM temps +45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full sun      Fertility: moderate,Notes: protect well from cold nights,90-100 Days,Capsicum annuum,
RAD-FB,RADISH,,French Breakfast,"Beautiful, oblong, white-tipped red roots. ",Mild/quick growing. Begs for olive oil & salt!,,Misc,Sow: anytime from early spring to fall,Direct seed,Planting Depth: ½ ”,Days to Germinate: 3-7 @ Soil Temp: 65-85F,Spacing after Thinning: 1-2”,Light: full sun to part shade,Notes: 3-4 weeks to maturity!,26 Days,Raphanus sativus,
RAD-SO,RADISH,,Sora,A classic look done well. Uniform round red ,roots of superior quality even to large size.,,Misc,Sow: anytime from early spring to fall,Direct seed,Planting Depth: ½ ”,Days to Germinate: 3-7 @ Soil Temp: 65-85F,Spacing after Thinning: 1-2”,Light: full sun to part shade,Notes: 3-4 weeks to maturity!,28 Days,Raphanus sativus,
RAD-GL,RADISH,,Green Luobo,"5-8"" Korean winter radish",with green shoulders. Kimchi!,,Misc,Sow: late summer,Direct seed,Planting Depth: ½ ”,Days to Germinate: 3-7 @ Soil Temp: 65-85F,Spacing after Thinning: 2-4”,Light: full sun to part shade,Notes: will bolt if planted in the Spring.,50-60 Days,Raphanus sativus,
BRO-NO,RAPINI/CIMA DI RAPA,,Novantina,"Graceful and branching w/early, extensive ","florets & a deliciously rich, wild flavor!",,Brassicas,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼-½”,Days to Germ: 3-10 @ Soil Temp: 60-65F,Spacing after Thinning: 4-6”,Light: full sun to part shade,Notes: eat leaves/stems/flower buds/etc…!,40-45 Days,Brassica oleracea var. botrytis,
BRO-SM,RAPINI/CIMA DI RAPA,,Cima Grossa San Martino,Cima grossa type for fall cropping,with very large florets.,,Brassicas,,,,,,,,80 Days,Brassica oleracea,
ONI-ER,SHALLOT,,Ed's Red,"Large, productive copper-red Dutch style. ",Out-stores even the best storage onions! ,,Allium,Sow: in flats late Feb-mid March,Transplant out in 10wks /early spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4”,Light: full sun ,Notes: excellent keeper,100-110 Days,Allium cepa,
GRE-BS,SORREL,,Blood Sorrel,Bright green leaves w/deep red veins. ,A lemony bite in salad or as a garnish. ,,Greens,Sow: mid spring,Direct seed,Planting Depth: ¼” ,Days to Germinate: 5-10 @ Soil Temp: 50-65F,Spacing after Thinning: 8” bunching/1-2” baby,Light: part shade,Notes: hardy perennial also grown as an annual,40-55 Days,Rumex acetosa,
SPI-BE,SPINACH,,Beaujolais,Striking red veined spinach w/a mild sweet ,flavor & buttery tenderness. Best as baby leaf.,,Greens,"Plant: early spring, fall",Direct seed,Planting Depth: ½” ,Days to Germinate: 3-8 @ Soil Temp: 50-60F,Spacing after Thinning: 3-6”,Light: part to full sun,Notes: best suited baby leaf stage,30 Days (baby),Spinacia oleracea,
SPI-WB,SPINACH,,Winter Bloomsdale,Outstanding savoy leafed strain. Excellent ,year-round & adapted to over-wintering.,,Greens,"Plant: early spring, fall",Direct seed,Planting Depth: ½”,Days to Germinate: 3-8 @ Soil Temp: 50-60F,Spacing after Thinning: 3-6”,Light: part to full sun,Notes: grows well in spring/fall; over-winters,45 Days,Spinacia oleracea,
SPI-WG,SPINACH,,Winter Giant,Excellent and cold hardy smooth-leaf variety. ,Tender leaves grow exceptionally large.,,Greens,"Plant: early spring, fall",Direct seed,Planting Depth: ½”,Days to Germinate: 3-8 @ Soil Temp: 50-60F,Spacing after Thinning: 3-6”,Light: part to full sun,Notes: grows well in spring/fall; over-winters,50 Days,Spinacia oleracea,
SQU-YC,SUMMER SQUASH,,Yellow Crookneck,"A summer classic. Prolific, deliciously ",buttery bright yellow fruits.,,Squash,Sow: 3-4 weeks before last frost or direct seed,Transplant out or direct seed after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-85F,Spacing after Thinning: 1’-3’  ,Light: full sun    Fertility: moderate,Notes: pick 2-3 x’s/wk to avoid baseball bats!,60 Days,Cucurbita pepo,
SQU-OD,SUMMER SQUASH,,Odesa,"From Ukraine, a “cousa” type squash w/thin ",pale green skin and impossibly creamy flesh.,,Squash,Sow: 3-4 weeks before last frost or direct seed,Transplant out or direct seed after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-85F,Spacing after Thinning: 1’-3’  ,Light: full sun    Fertility: moderate,Notes: pick 2-3 x’s/wk to avoid baseball bats!,60 Days,Cucurbita pepo,
ZUC-CR,"SUMMER SQUASH, ZUCCHINI",ZUCCHINI,Costata Romanesco,Light green Italian variety w/prominent, ribbing & unparalleled flavor. ,,Squash,Sow: 3-4 weeks before last frost or direct seed,Transplant out or direct seed after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-85F,Spacing after Thinning: 1’-3’  ,Light: full sun    Fertility: moderate,Notes: pick 2-3 x’s/wk to avoid baseball bats!,55 Days,Cucurbita pepo,
ZUC-DS,"SUMMER SQUASH, ZUCCHINI",ZUCCHINI,Dark Star,A new standard for open-pollinated zukes! ,"Refined, uniform, dark green angular fruits.",,Squash,Sow: 3-4 weeks before last frost or direct seed,Transplant out or direct seed after last frost,Planting Depth: 1”,Days to Germinate: 3-10 @ Soil Temp: 65-85F,Spacing after Thinning: 1’-3’  ,Light: full sun    Fertility: moderate,Notes: pick 2-3 x’s/wk to avoid baseball bats!,50-55 Days,Cucurbita pepo,
CHA-RA,SWISS CHARD,,Rainbow,Unquestionably the brightest burst of ,rainbow brilliance in your garden!!,,Beet & Chard,Sow: mid April-July,Direct seed,Planting Depth: ½”,Days to Germinate: 6-10 @ Soil Temp: 50-75F,Spacing after Thinning: 10-12”,Light: full to part sun,Notes: continual harvest in cooler weather,30 (baby)-55 Days,Beta vulgaris subsp. Cicla,
CHA-RH,SWISS CHARD,,Rhubarb,Classic variety w/ruby red stems & veins ,set in dark green savoyed leaves.,,Beet & Chard,Sow: mid April-July,Direct seed,Planting Depth: ½”,Days to Germinate: 6-10 @ Soil Temp: 50-75F,Spacing after Thinning: 10-12”,Light: full to part sun,Notes: continual harvest in cooler weather,55 Days,Beta vulgaris subsp. Cicla,
TGC-DM,TOMATILLO,,De Milpa,Vigorous plants w/purple fruits famous for ,making salsa verde. Husked tomato relative.,,Misc,Sow: 6-8 weeks before last frost,Transplant out 6-8 wk old plants,Planting Depth: ¼”,Days to Germinate: 10-14 @ Soil Temp: 75-85F,Spacing after Thinning: 18-24”,Light: full sun   Notes: culture like tomatoes,Harvest when fruit pulls off the plant easily,80 Days,Physalis philadelphica,
TOM-AF,TOMATO,SALAD TOMATO,Afghan,Ruffled orange 3-5oz beauties.,"Early, tasty & productive! Indet.",,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70 Days,Solanum lycopersicum,
TOM-BP,TOMATO,SALAD TOMATO,Black Prince,"Garnet red & abundant, with",lingering fruity richness. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70-75 Days,Solanum lycopersicum,
TOM-BL,TOMATO,CHERRY TOMATO,Blush,"Fabulously sweet & fruity flavor, gorgeous ","red marbled skin, & elongated fruits! Indet.",,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,75 Days,Solanum lycopersicum,
TOM-CA,TOMATO,SLICER TOMATO,Carbon,Large & prolific beefsteak type,"w/rich, complex flavor! Indet.",,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,85 Days,Solanum lycopersicum,
TOM-CE,TOMATO,SALAD TOMATO,Ceylon,"Unique, ruffled, and red w/sweet/tart flavor. ",A productive favorite and such a cutie! Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,65 Days,Solanum lycopersicum,
TOM-AL,TOMATO,SLICER/PASTE TOMATO,Cuor di Bue Albenga,Delectable 12-16oz red ruffled, oxheart type from NW Italy. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,85 Days,Solanum lycopersicum,
TOM-GA,TOMATO,CHERRY TOMATO,Galina,Delicious golden Siberian cherry ,that excels in cool fall weather. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,65-75 Days,Solanum lycopersicum,
TOM-GM,TOMATO,SLICER TOMATO,Gold Medal,Wonderfully productive w/exceptional 1lb+,"red marbled, sunset orange fruits. Indet.",,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,90 Days,Solanum lycopersicum,
TOM-GZ,TOMATO,SALAD TOMATO,Green Zebra,"Dark green stripes over bright yellow skin, ",a tangy-sweet flavor and 3-4oz fruits. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,80 Days,Solanum lycopersicum,
TOM-IH,TOMATO,SLICER TOMATO,Italian Heirloom,Ideal for slicing & sauce w/great ,flavor. Very productive! Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70-80 Days,Solanum lycopersicum,
TOM-JF,TOMATO,SALAD TOMATO,Jaune Flamme,"Reliable & productive w/bright, juicy",flavor. 4-5oz orange fruits. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,70-80 Days,Solanum lycopersicum,
TOM-LA,TOMATO,SALAD TOMATO,Latah,We dare you to find an earlier tomato!  ,2’ plants bear 2-4oz fruit w/real flavor. Det.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,50-60 Days,Solanum lycopersicum,
TOM-MY,TOMATO,SLICER TOMATO,Manyel,Flawless beefsteak sized lemon yellow fruits ,w/nicely balanced low-acid flavor. Indet. ,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,75-80 Days,Solanum lycopersicum,
TOM-MA,TOMATO,SLICER TOMATO,Matina,Flawless early sets of 4-6oz ,delicious fruit w/balanced flavor. Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,65-70 Days,Solanum lycopersicum,
TOM-MG,TOMATO,SLICER TOMATO,Moldovan Green,Lime green w/gold blush & rich flavor. ,Superb fresh eater at 8-12oz! Indet.,,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,75-85 Days,Solanum lycopersicum,
TOM-NE,TOMATO,SLICER TOMATO,Nepal,Fantastic & early mid-season slicer with,"heavy, crack resistant 1/2lb fruit set. Indet.",,Tomato,Sow: 4-7 weeks before last frost,Transplant after danger of frost (PM Temp >45F),Planting Depth:  ¼”,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing after Thinning: 1.5-3’,Light: full sun,Notes: leggy/root-bound? Don’t start too early!,75-80 Days,Solanum lycopersicum,
